Item_Name,SKU,GMV,Units_Sold,Orders,Offer_Pageviews,Offer_Conversion,Item_id,Base_Item_Id,Item_Pageviews,Item_Conversion,Auth_Sales,Cancelled_Sales,Refund_Sales,Department,Brand,Listing_Quality_Score,GMV_Minus_Commission,AUR,Cancelled_Units,Item_Condition
Dell OptiPlex 7010 Desktop Computer Bundle Windows 11 Core i3 Processor 8GB Memory 2TB Hard Drive DVD-RW Wi-fi with a (Monitor Not Included)-Used Computer,AEP-6GTW-CN6,151.10,1,1,3,33.33333333333333,881295615,881295615,5,20.0,151.10,0.00,0.00,TABLETS,Dell,0.0,142.03,151.10000000000000000,0,New
"Dell Optiplex 7010 Windows 7 Pro Premium Desktop PC Tower Intel Core i5 3.0GHz Processor 8GB RAM 500GB Hard Drive DVD-RW Wifi with a 19"" LCD-Used Computer",VU1-9B57-O95,0.00,0,0,1,0.0,368530817,368530817,1,0.0,0.00,0.00,0.00,TABLETS,Dell,13.994192123413086,0.00,"",0,New
"Pre-Owned Used Dell Optiplex 790-T WA1-0389 Desktop PC with Intel Core i5 Processor, 16GB Memory, 2TB Hard Drive and Windows 11 Pro (Monitor Not Included)",ZM7-5V14-F90,0.00,0,0,0,"",626910523,626910523,0,"",0.00,0.00,0.00,TABLETS,Dell,0.0,0.00,"",0,Pre-Owned: Good
"Dell OptiPlex 3020-SFF Desktop PC with Core i5 Processor, 16GB Memory, 480SSD Hard Drive, DVD, Wi-Fi and Windows 7 Pro Computer with 19"" LCD Monitor",SNX-B2IY-SLR,207.23,1,1,1,100.0,120106923,120106923,2,50.0,207.23,0.00,0.00,COMPUTING,Dell,11.059830665588379,194.80,207.23000000000000000,0,New
"Restored HP G1 Desktop Computer Core i5 Processor 3.2GHz 16GB RAM 2TB HDD Dual 22"" LCD Windows 10 (Refurbished)",53J-J8Y-68R1,1277.85,7,7,4,25.0,1605469742,1605469742,458,2.1834061135371177,1277.85,0.00,0.00,TABLETS,HP,20.2040657043457,1201.20,182.55000000000000000,0,Restored: Like New
"Restored Dell OptiPlex 9020 Desktop Tower Computer, Intel Core i5, 16GB RAM, 1TB HD, DVD-ROM, Windows 10 Home, Black (Refurbished)",AAQ-L3I-KLT,955.70,7,9,11,27.27272727272727,607403966,607403966,253,4.743083003952568,1385.46,161.16,268.60,TABLETS,Dell,40.81634286733774,898.35,138.54600000000000000,1,Restored: Like New
"Dell OptiPlex Desktop, Intel Core i5, 16GB, 128GB SSD+1TB HDD, DVD, Black, 7010",YH5-4L32-B12,164.49,1,4,26,15.384615384615385,209714863,209714863,79,5.063291139240507,657.96,0.00,493.47,COMPUTING,Dell,0.0,154.62,164.49000000000000000,0,New
Desktop PC LENOVO 2TB Core i5 16GB RAM WiFi WIN 10 Computer For Fortnite gaming,RB7-8W23-O72,-186.65,-1,0,0,"",268708837,268708837,0,"",0.00,0.00,186.65,COMPUTING,Lenovo,0.0,-175.45,"",0,New
Restored HP Black Compaq 8200 Desktop Intel i5 Quad Core 3.3GHz 4GB RAM 1TB HDD Intel HD Graphics 2000 DVD-ROM Windows 10 Professional 20'' Display Keyboard Mouse (Refurbished),60J-7Q5U-B5X,337.80,2,3,4,50.0,159062272,159062272,4,50.0,506.70,0.00,168.90,TABLETS,HP,75.0,307.41,168.90000000000000000,0,Restored: Like New
"Dell Optiplex 990 Tower Computer PC, 3.20 GHz Intel i5 Quad Core Gen 2, 16GB DDR3 RAM, 2TB SATA Hard Drive, Windows 10 Professional 64bit",P1D-D76-A83,122.90,1,1,2,50.0,54388712,54388712,9,11.11111111111111,122.90,0.00,0.00,TABLETS,Dell,100.0,115.53,122.90000000000000000,0,New
Pre-Owned Windows 11 Pro Fast Dell Optiplex 9020 Desktop Computer Tower PC Intel Quad-Core i5 3.2GHz Processor 8GB RAM 500GB Hard Drive 64bit,PE9-7X69-U83,0.00,0,0,2,0.0,396820479,396820479,3,0.0,0.00,0.00,0.00,TABLETS,Dell,75.0,0.00,"",0,Pre-Owned: Like New
"DELL Optiplex 7010 SFF High Performance Desktop Computer, Intel Core i5 3.6 GHz, 8GB RAM, 240GB SSD, Windows 11 Pro, USB WiFi Adapter (Monitor Not Included)",NV1-1W13-U13,679.70,5,7,21,28.57142857142857,517227935,517227935,56,12.5,951.50,0.00,271.80,COMPUTING,Dell,81.89841604232788,630.78,135.92857142860000000,0,New
"Dell Optiplex 3010 Tower Computer PC, 3.20 GHz Intel i5 Quad Core Gen 3, 8GB DDR3 RAM, 1TB SATA Hard Drive, Windows 11 Professional 64bit (Monitor Not Included)",XI9-5N16-M73,819.50,5,8,25,32.0,861589233,861589233,38,21.052631578947366,1475.10,0.00,655.60,COMPUTING,Dell,16.40550842285156,770.34,163.90000000000000000,0,New
"Dell Optiplex 7010 Ultra Small Tiny Desktop Micro Computer PC Intel Core i5, 8GB Ram, 2TB, WiFi, Bluetooth, Windows 11 Pro (Monitor Not Included)",VE1-6X64-Z29,0.00,0,0,2,0.0,560272511,560272511,3,0.0,0.00,0.00,0.00,COMPUTING,Dell,100.0,0.00,"",0,New
"HP Desktop Computer 800G1 Intel Core I5,16GB RAM,120GB SSD, Windows 10 Home",7UQ-QXM-3U0C,0.00,0,0,0,"",410003183,410003183,0,"",0.00,0.00,0.00,COMPUTING,HP,0.0,0.00,"",0,New
"Dell Optiplex 790 Tower Computer PC, 3.20 GHz Intel i5 Quad Core Gen 2, 8GB DDR3 RAM, 500GB SATA Hard Drive, Windows 11 Home 64bit",QN1-3T34-L71,1182.40,8,8,24,33.33333333333333,745260587,745260587,50,16.0,1330.20,0.00,147.80,COMPUTING,Dell,70.92165250778199,1111.44,147.80000000000000000,0,New
"Dell OptiPlex 7040 Small Business PC, 22"" LCD Monitor, Gen 6 Core i5-6500, 8GB DDR4 RAM, 1 TB, Windows 10 Home, HDMI, 2 Displayport",28X-X4N-QOS7,169.98,1,3,6,50.0,1230914614,1230914614,42,9.523809523809524,507.96,0.00,337.98,COMPUTING,Dell,0.5266585690634591,159.78,169.32000000000000000,0,New
Dell OptiPlex 7010 Desktop Computer 16GB/512SSD Core i5 Windows 11 Pro Pro For Fortnite PC WiFi,IX8-5J20-L34,170.69,1,1,3,33.33333333333333,143596373,143596373,4,25.0,170.69,0.00,0.00,COMPUTING,Dell,100.0,160.45,170.69000000000000000,0,New
"Restored Lenovo ThinkCentre Desktop Tower Computer, Intel Core i5 i5-2400, 8GB RAM, 1TB HD, DVD Writer, Windows 7 Professional, Black (Refurbished)",40R-ELB-75Q,0.00,0,0,0,"",49333474,49333474,0,"",0.00,0.00,0.00,TABLETS,Lenovo,25.0,0.00,"",0,Restored: Like New
