Item_Name,SKU,GMV,Units_Sold,Orders,Offer_Pageviews,Offer_Conversion,Item_id,Base_Item_Id,Item_Pageviews,Item_Conversion,Auth_Sales,Cancelled_Sales,Refund_Sales,Department,Brand,Listing_Quality_Score,GMV_Minus_Commission,AUR,Cancelled_Units,Item_Condition,cancellation_Rate,Refund_Rate
"Dell Optiplex 790 Desktop Computer PC, 3.40 GHz Intel i5 Quad Core Gen 2, 16GB DDR3 RAM, 1TB Hard Disk Drive (HDD) SATA Hard Drive, Windows 10 Home 64bit",O5U-USG-J8YS,0.0,0,0,0,,869385096,869385096.0,2,0.0,0.0,0.0,0.0,TABLETS,Dell,57.142857142857146,0.0,,0,New,,
"Dell Optiplex 790 Tower Computer PC, 3.10 GHz Intel i5 Quad Core Gen 2, 8GB DDR3 RAM, 1TB SATA Hard Drive, Windows 11 Pro 64bit (Monitor Not Included)",YP1-8Q51-C24,332.88,2,2,3,66.66666666666666,985100054,985100054.0,3,66.66666666666666,332.88,0.0,0.0,COMPUTING,Dell,50.0,322.89,166.44,0,New,0.0,0.0
"Restored Lenovo ThinkPad E570 15.6 inch High Performance Business Laptop, 256GB SSD, Intel Core i5 (7th Gen) 2.50 GHz, 8 GB DDR4, DVD-R/RW, WiFi, HDMI/VGA, Gigabit LAN, 4-in-1 Card Reader, Windows 10 Pro (Refurbished)",WJ7-76F-Y74X,0.0,0,0,0,,1882585534,1882585534.0,1,0.0,0.0,0.0,0.0,TABLETS,Lenovo,0.0,0.0,,0,Restored: Like New,,
"Restored Dell OptiPlex Desktop Computer Intel i3 Processor, 16GB Memory, 2TB HDD, WIFI, 19"" LCD with a T-Wolf TF100 Wireless Keyboard and Mouse - Windows 10 PC (Refurbished)",MKX-XQD-1SZ,142.14,1,1,0,,608316002,608316002.0,4,25.0,142.14,0.0,0.0,TABLETS,Dell,51.19535293579101,133.61,142.14,0,Restored: Like New,0.0,0.0
"Restored HP ProDesk 6300 Desktop Towers Computer, Intel Core i5, 8GB RAM, 1TB HD, DVD-RW, Windows 10 Professional 64Bit, Black (Refurbished)",CWF-E8D-SQM,0.0,0,0,0,,1119746842,1119746842.0,0,,0.0,0.0,0.0,TABLETS,HP,0.0,0.0,,0,Restored: Like New,,
"Restored Desktop Computer Bundle HP Elite Tower Windows 10 PC with an Intel i5 3.1GHz Processor 4GB of Ram 320GB HD Wifi DVD and a 19"" LCD Monitor (Refurbished)",27Y-57Z-0SN,0.0,0,0,0,,333936030,333936030.0,0,,0.0,0.0,0.0,TABLETS,HP,0.0,0.0,,0,Restored: Like New,,
"Fast Dell Optiplex 790 Windows 7 Desktop Computer Core i3 4GB 19"" LCD 500gb hard drive",E0FB-ZMQ-5LKYU,0.0,0,2,4,50.0,345677043,345677043.0,19,10.526315789473683,233.76,0.0,233.76,COMPUTING,Dell,28.571428571428573,0.0,116.88,0,New,0.0,116.88
"Restored HP 6305-SFF Desktop PC with AMD A4-5300B Processor, 8GB Memory, 250GB Hard Drive and Windows 10 Home (Monitor Not Included) (Refurbished)",GUS-4HW-9TL,0.0,0,0,0,,49333468,49333468.0,0,,0.0,0.0,0.0,TABLETS,HP,0.0,0.0,,0,Restored: Like New,,
Dell Optiplex 7010 Windows 11 Pro Desktop PC Tower Core i3 3.1GHz Processor 8GB RAM 500GB Hard Drive DVD-RW Wifi with a 17 -Used Computer,R9Z-NG-0B7,1881.96,12,13,308,4.545454545454546,2995552406,2995552406.0,389,3.5989717223650386,2352.45,0.0,470.49,TABLETS,Dell,28.20700240135193,1769.04,156.83,0,New,0.0,36.191538461538464
Pre-Owned Dell OptiPlex 990 Dual Monitor Desktop Computer with Intel Core i5 Processor 16GB RAM 500GB HD 300Mps Wi-Fi DVD Windows 7 Pro and 2x 17 LCD Monitors - Used PC,L8Z-XEG5-D1T,0.0,0,0,0,,445285685,445285685.0,0,,0.0,0.0,0.0,TABLETS,Dell,32.069986979166664,0.0,,0,Pre-Owned: Good,,
