#INFO,Version=1.0.0,Template= eBay-active-revise-price-quantity-download_US,,,,,,,,,
Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU)
,,,,,,"213.8",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_AFC23013
,,,,,,"140.2",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=128 GB|Accessories=NONE,IF_6B6152B1
,,,,,,"165.0",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_B035807B
,,,,,,"208.2",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_3ACB4173
,,,,,,"233.8",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_0374C0C1
Revise,"CPUs/Processors (164)","157312924106",Intel Core i5-6TH GEN Quad-Core Processor 3.2 GHz 6MB LGA1151,"US","USD","36.58",,"8",,,IF_DC7D616D
Revise,"PC Desktops & All-In-Ones (179)","157323186459",Lenovo Tiny PC Mini Computer Intel core i7 i5 32GB Ram 2TB SSD Wi-Fi Windows 11,"US","USD",,,,,Processor=Intel Core i5;Intel Core i7|RAM Size=8 GB;16 GB;32 GB|SSD Capacity=250 GB;500 GB;1 TB;2 TB|Accessories=NONE;Display Cable,N5G-IF6-GXB
,,,,,,"144.25",,"3","Variation",Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_EF7171FD
,,,,,,"149.25",,"3","Variation",Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_1580DC9F
,,,,,,"159.25",,"3","Variation",Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_169C0974
,,,,,,"164.25",,"3","Variation",Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_12F5C2CC
,,,,,,"182.25",,"3","Variation",Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_2F85F222
,,,,,,"190.25",,"3","Variation",Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_9A28BB10
,,,,,,"229.25",,"3","Variation",Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=2 TB|Accessories=NONE,IF_290C5B20
,,,,,,"234.25",,"3","Variation",Processor=Intel Core i5|RAM Size=8 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_C4C803D0
,,,,,,"154.25",,"3","Variation",Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_21A00D43
,,,,,,"159.25",,"3","Variation",Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_14DB66DD
,,,,,,"164.25",,"3","Variation",Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=NONE,IF_E680F698
,,,,,,"169.25",,"3","Variation",Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_3189AA79
,,,,,,"190.25",,"3","Variation",Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_9A841504
,,,,,,"195.25",,"3","Variation",Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=Display Cable,IF_E1E9C318
,,,,,,"239.25",,"3","Variation",Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=2 TB|Accessories=NONE,IF_0D3B06D3
,,,,,,"244.25",,"3","Variation",Processor=Intel Core i5|RAM Size=16 GB|SSD Capacity=2 TB|Accessories=Display Cable,IF_1C502602
,,,,,,"210.25",,"3","Variation",Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_AE3BA6C7
,,,,,,"215.25",,"3","Variation",Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=Display Cable,IF_043382DA
,,,,,,"225.25",,"3","Variation",Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_CFF0F128
,,,,,,"230.25",,"3","Variation",Processor=Intel Core i5|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=Display Cable,IF_115D96D2
